iso_code,english_name,turkish_name
aar,Afar,Afarca
abk,Abkhazian,Abhazca
ace,Achinese,Açece
ach,Acoli,Acoli Dili
ada,Adangme,Adangme Dili
afa,Afro-Asiatic,Afro-Asyatik Diller
afh,Afrihili,Afrihili Dili
afr,Afrikaans,Afrikaanca
aka,Akan,Akan Dili
akk,Akkadian,Akadca
alb/sqi,Albanian,Arnavutça
ale,Aleut,Aleutça
alg,Algonquian languages,Algonquian Dilleri
amh,Amharic,Amharca
ang,Old English,Eski İngilizce
apa,Apache,Apaçice
ara,Arabic,Arapça
arc,Aramaic,Aramice
arg,Aragonese,Aragonca
arm/hye,Armenian,Ermenice
arn,Araucanian,Araucanca
arp,Arapaho,Arapahoca
art,Artificial,Yapay Diller
arw,Arawak,Arawak Dili
asm,Assamese,Assam Dili
ath,Athapascan,Atabask Dilleri
ava,Avaric,Avarca
ave,Avestan,Avestaca
awa,Awadhi,Awadhi Dili
aym,Aymara,Aymaraca
aze,Azerbaijani,Azerice
bad,Banda,Banda Dilleri
bai,Bamileke,Bamileke Dilleri
bak,Bashkir,Başkurtça
bal,Baluchi,Beluçça
bam,Bambara,Bambara Dili
ban,Balinese,Balice
baq/eus,Basque,Baskça
bas,Basa,Basa Dili
bat,Baltic,Baltık Dilleri
bej,Beja,Beja Dili
bel,Belarusian,Belarusça
bem,Bemba,Bemba Dili
ben,Bengali,Bengalce
ber,Berber,Berberi Dilleri
bho,Bhojpuri,Bhojpuri Dili
bih,Bihari,Bihari Dilleri
bik,Bikol,Bikol Dilleri
bin,Bini,Edo (Bini) Dili
bis,Bislama,Bislama Dili
bla,Siksika,Karaayakça
bnt,Bantu,Bantu Dilleri
bod/tib,Tibetan,Tibetçe
bos,Bosnian,Boşnakça
bra,Braj,Braj Dili
bre,Breton,Bretonca
bua,Buriat,Buryatça
bug,Buginese,Bugice
bul,Bulgarian,Bulgarca
bur/mya,Burmese,Birmanca
cad,Caddo,Kadoca
cai,Central American Indian,Orta Amerika Yerel Dilleri
car,Carib,Carib Dili
cat,Catalan,Katalanca
cau,Caucasian,Kafkasça
ceb,Cebuano,Sabuanca
cel,Celtic,İskoçça
ces/cze,Czech,Çekçe
cha,Chamorro,Çamorro Dili
chb,Chibcha,Çipçaca
che,Chechen,Çeçence
chg,Chagatai,Çağatayca
chi/zho,Chinese,Çince
chm,Mari,Mari Dili
chn,Chinook jargon,Chinook jargon
cho,Choctaw,Çoktav Dili
chr,Cherokee,Çerokice
chu,Church Slavic,Kilise Slavcası
chv,Chuvash,Çuvaşça
chy,Cheyenne,Şayence
cop,Coptic,Kıptîce
cor,Cornish,Kernevekçe
cos,Corsican,Korsikaca
cpe,English-based Creoles and Pidgins,İngilizce Tabanlı Kreoller ve Pidginler
cpf,French-based Creoles and Pidgins,Fransızca Tabanlı Kreoller ve Pidginler
cpp,Portuguese-based Creoles and Pidgins,Portekizce Tabanlı Kreoller ve Pidginler
cre,Cree,Krice
crp,Creoles and Pidgins,Kreoller ve Pidginler
cus,Cushitic,Cushitic Dilleri
cym/wel,Welsh,Galce
cze/ces,Czech,Çekçe
dak,Dakota,Dakotaca
dan,Danish,Danimarkaca
del,Delaware,Delaware Dili
deu/ger,German,Almanca
din,Dinka,Dinka Dili
div,Divehi,Maldivce
doi,Dogri,Dogri Dili
dra,Dravidian,Dravid Dilleri
dua,Duala,Duala Dili
dum,Middle Dutch,Orta Felemenkçe
dut/nld,Dutch,Flemenkçe
dyu,Dyula,Dyula Dili
dzo,Dzongkha,Dzongkha Dili
efi,Efik,Efik Dili
egy,Ancient Egyptian,Eski Mısırca
eka,Ekajuk,Ekajuk Dili
ell/gre,Greek,Yunanca
elx,Elamite,Elamca
eng,English,İngilizce
enm,Middle English,Orta İngilizce
epo,Esperanto,Esperanto Dili
esk,Eskimo,Eskimo Dili
esl/spa,Spanish,İspanyolca
est,Estonian,Estonca
ewe,Ewe,Ewe Dili
ewo,Ewondo,Ewondo Dili
fan,Fang,Fang Dili
fao,Faroese,Faroece
fas/per,Persian,Farsça
fat,Fanti,Fanti Dili
fij,Fijian,Fijice
fin,Finnish,Fince
fiu,Finno-Ugrian,Fin-Ugor Dilleri
fon,Fon,Fon Dili
fra/fre,French,Fransızca
frm,Middle French,Orta Fransızca
fro,Old French,Eski Fransızca
fry,Frisian,Frizce
ful,Fulah,Fula Dili
gaa,Ga,Ga Dili
gae/gdh,Gaelic,Galce
gai/iri,Irish,İrlandaca
gay,Gayo,Gayo Dili
gem,Germanic,Cermen dilleri
geo/kat,Georgian,Gürcüce
gez,Geez,Geez Dili
gil,Gilbertese,Kiribatice
gla,Gaelic,Galce
gle,Irish,İrlandaca
glg,Galician,Galiçyaca
glv,Manx,Manca
gmh,Middle High German,Orta Yüksek Almanca
goh,Old High German,Eski yüksek almanca
gon,Gondi,Gondi Dili
got,Gothic,Gotik Diller
grb,Grebo,Grebo Dili
grc,Ancient Greek,Antik Yunanca
gre/ell,"Greek, Modern (1453-)","Yunanca, Modern (1453-)"
grn,Guarani,Guaranice
guj,Gujarati,Guceratça
hai,Haida,Haydaca
hat,Haitian,Haiti dili
hau,Hausa,Hausaca
haw,Hawaiian,Hawaii dili
heb,Hebrew,İbranice
her,Herero,Hereroca
hil,Hiligaynon,Hiligaynon Dili
him,Himachali,Himachali Dilleri
hin,Hindi,Hintçe
hmo,Hiri Motu,Hiri Motu
hrv,Croatian,Hırvatça
hun,Hungarian,Macarca
hup,Hupa,Hupaca
iba,Iban,İban Dili
ibo,Igbo,İgbo Dili
ice/isl,Icelandic,İzlandaca
ido,Ido,İdo Dili
iii,Sichuan Yi,Sichuan Yi
ijo,Ijo,İjo Dili
iku,Inuktitut,Doğu Kanada İnuitçesi
ile,Interlingue,İç içe geçmiş
ilo,Iloko,Iloko Dili
ina,Auxiliary Language Association,Yardımcı Dil Birliği
inc,Indic,Hint-Aryan dilleri
ind,Indonesian,Endonezyaca
ine,Indo-European,Hint-Avrupa Dilleri
ipk,Inupiaq,İnyupikçe
ira,Iranian,İran Dilleri
iro,Iroquoian,İrokua Dilleri
ita,Italian,İtalyanca
jav,Javanese,Cava dili
jav/jaw,Javanese,Cava dili
jpn,Japanese,Japonca
jpr,Judeo-Persian,Yahudi Farsçası
jrb,Judeo-Arabic,Yahudi Arapçası
kaa,Kara-Kalpak,Karakalpakça
kab,Kabyle,Kabyle Dili
kac,Kachin,Kaçin Dili
kal,Greenlandic,Grönlandca
kam,Kamba,Kamba Dili
kan,Kannada,Kannada Dili
kar,Karen,Karen Dilleri
kas,Kashmiri,Keşmirce
kau,Kanuri,Kanurice
kaw,Kawi,Kavi Dili
kaz,Kazakh,Kazakça
kha,Khasi,Khasi Dili
khi,Khoisan,Khoisan dilleri
khm,Khmer,Kmerce
kho,Khotanese,Sakaca
kik,Gikuyu,Kikuyu Dili
kin,Kinyarwanda,Ruandaca
kir,Kirghiz,Kırgızca
kok,Konkani,Konkani Dili
kom,Komi,Komice
kon,Kongo,Kongoca
kor,Korean,Korece
kpe,Kpelle,Kpelle Dili
kro,Kru,Kru Dilleri
kru,Kurukh,Kurukh Dili
kua,Kuanyama,Kuanyama Dili
kum,Kumyk,Kumukça
kur,Kurdish,Kürtçe
kus,Kusaie,Kosraca
kut,Kutenai,Kutenai Dili
lad,Ladino,Yahudi İspanyolcası
lah,Lahnda,Lahnda Dili
lam,Lamba,Lamba Dili
lao,Lao,Laoca
lat,Latin,Latince
lav,Latvian,Letonca
lez,Lezghian,Lezgice
lim,Limburgan,Limburgca
lin,Lingala,Lingala Dili
lit,Lithuanian,Litvanca
lol,Mongo,Mongo Dili
loz,Lozi,Lozi Dili
ltz,Letzeburgesch,Lüksemburgca
lub,Luba-Katanga,Luba-Katanga Dili
lug,Ganda,Luganda
lui,Luiseno,Luiseno Dili
lun,Lunda,Lunda Dili
luo,Luo,Luo Dili
mac/mak,Macedonian,Makedonca
mac/mkd,Macedonian,Makedonca
mad,Madurese,Madurese Dili
